codigo_ibge,ano,investimentoPrestador,investimentoMunicipio,investimentoEstado
2600054,2015,3648916.38,,0.0
2600054,2016,1678345.71,,0.0
2600054,2017,1970623.18,0.0,0.0
2600054,2018,3412499.57,,0.0
2600054,2019,2483940.98,,0.0
2600054,2020,1784079.23,,0.0
2600054,2021,2532950.17,0.0,0.0
2600054,2022,10771625.67,,
2600104,2015,6279615.75,,0.0
2600104,2016,795969.14,265000.0,9936.17
2600104,2017,641831.75,265000.0,5679.55
2600104,2018,614769.64,,0.0
2600104,2019,706424.98,,0.0
2600104,2020,368806.3,,0.0
2600104,2021,2965738.54,0.0,0.0
2600104,2022,3059128.11,,2614430.37
2600203,2015,12455.72,,0.0
2600203,2016,38620.07,,0.0
2600203,2017,31171.61,0.0,0.0
2600203,2018,84495.32,,0.0
2600203,2019,110630.34,90000.0,0.0
2600203,2020,40425.3,80000.0,0.0
2600203,2021,43270.66,90000.0,0.0
2600203,2022,478173.0,0.0,0.0
2600302,2015,245619.55,,0.0
2600302,2016,669350.67,,0.0
2600302,2017,2250495.67,657984.9,0.0
2600302,2018,578306.56,657984.9,0.0
2600302,2019,229992.92,345704.27,0.0
2600302,2020,223881.76,759170.53,0.0
2600302,2021,227168.19,797181.91,0.0
2600302,2022,525870.92,0.0,0.0
2600401,2015,30257.86,0.0,0.0
2600401,2016,34939.0,0.0,0.0
2600401,2017,24878.5,0.0,0.0
2600401,2018,51127.85,0.0,0.0
2600401,2019,104065.04,0.0,0.0
2600401,2020,20000.0,0.0,0.0
2600401,2021,177929.0,0.0,0.0
2600401,2022,200975.0,0.0,0.0
2600500,2015,3164698.32,,0.0
2600500,2016,506755.2,,19872.33
2600500,2017,1228453.36,0.0,11359.09
2600500,2018,415151.75,0.0,176851.44
2600500,2019,3370909.58,,0.0
2600500,2020,8293866.28,,0.0
2600500,2021,4764449.02,0.0,0.0
2600500,2022,5671350.98,0.0,0.0
2600609,2015,785729.28,,0.0
2600609,2016,119412.23,30000.0,0.0
2600609,2017,947840.14,30000.0,0.0
2600609,2018,272179.08,,0.0
2600609,2019,127629.04,100000.0,0.0
2600609,2020,93713.3,0.0,0.0
2600609,2021,1101649.7,0.0,0.0
2600609,2022,1814223.36,0.0,
2600708,2015,1440007.46,,0.0
2600708,2016,1266667.63,,0.0
2600708,2017,969147.67,0.0,0.0
2600708,2018,341019.48,,0.0
2600708,2019,64595.08,,0.0
2600708,2020,69025.04,,0.0
2600708,2021,425773.27,0.0,0.0
2600708,2022,342214.44,,
2600807,2015,25338.88,,0.0
2600807,2016,71781.19,0.0,0.0
2600807,2017,23064.61,0.0,0.0
2600807,2018,35301.27,0.0,0.0
2600807,2019,101837.97,0.0,0.0
2600807,2020,51871.56,,0.0
2600807,2021,128215.61,0.0,0.0
2600807,2022,397839.16,40500.0,0.0
2600906,2015,22103.0,0.0,0.0
2601003,2015,9882.91,,0.0
2601003,2016,12386.67,,0.0
2601003,2017,9516.8,0.0,0.0
2601003,2018,755534.68,,0.0
2601003,2019,18853.87,,0.0
2601003,2020,19726.31,,0.0
2601003,2021,22454.53,0.0,0.0
2601003,2022,99757.54,,
2601052,2015,1303263.84,,0.0
2601052,2016,23091.9,,0.0
2601052,2017,3968.4,0.0,0.0
2601052,2018,5707.85,,0.0
2601052,2019,760417.91,,0.0
2601052,2020,689403.36,,0.0
2601052,2021,1001338.52,0.0,0.0
2601052,2022,17498239.93,,
2601102,2015,132150.75,279838.18,0.0
2601102,2016,110618.31,323903.3,4968.08
2601102,2017,73287.61,1685.0,2839.77
2601102,2018,111356.82,0.0,0.0
2601102,2019,211530.3,0.0,0.0
2601102,2020,317712.44,0.0,0.0
2601102,2021,387496.43,0.0,0.0
2601102,2022,1145693.81,0.0,0.0
2601201,2015,14499526.16,,0.0
2601201,2016,4799632.69,,14904.25
2601201,2017,23006629.46,0.0,8519.32
2601201,2018,12936725.96,,0.0
2601201,2019,7368846.86,,0.0
2601201,2020,2101998.13,,0.0
2601201,2021,44489020.08,0.0,0.0
2601201,2022,12685901.05,,
2601300,2015,13201.14,,0.0
2601300,2016,16106.79,,35255.24
2601300,2017,143786.67,0.0,1313.79
2601300,2018,224828.01,,34191.9
2601300,2019,682714.45,,0.0
2601300,2020,197981.45,,0.0
2601300,2021,202624.6,0.0,0.0
2601300,2022,1023186.54,0.0,3347703.38
2601409,2015,52730.57,,0.0
2601409,2016,58111.33,,6030329.72
2601409,2017,140642.41,0.0,6274591.27
2601409,2018,193531.66,,330691.5
2601409,2019,182227.78,,0.0
2601409,2020,169121.16,,0.0
2601409,2021,88661.97,0.0,0.0
2601409,2022,396738.36,,
2601508,2015,10269.02,,0.0
2601508,2016,19958232.52,,35541.52
2601508,2017,6439852.71,0.0,8475.85
2601508,2018,198380.73,,69181.5
2601508,2019,242805.93,,0.0
2601508,2020,73266.88,,0.0
2601508,2021,46088.07,0.0,0.0
2601508,2022,91013.67,,
2601607,2015,62088.25,,0.0
2601607,2016,128566.02,,0.0
2601607,2017,25349.61,0.0,0.0
2601607,2018,43747.89,,0.0
2601607,2019,438368.7,,0.0
2601607,2020,81120.32,0.0,0.0
2601607,2021,57874.43,0.0,0.0
2601607,2022,1979124.19,0.0,0.0
2601706,2015,4830132.07,0.0,1425622.83
2601706,2016,4943911.14,,5579471.13
2601706,2017,16005190.34,0.0,0.0
2601706,2018,9962810.02,,0.0
2601706,2019,37927603.69,,0.0
2601706,2020,30647064.16,0.0,0.0
2601706,2021,29894674.72,0.0,0.0
2601706,2022,34792787.7,340000.0,
2601805,2015,453974.24,0.0,0.0
2601805,2016,14153.25,,19872.33
2601805,2017,8457.83,0.0,11359.09
2601805,2018,17425.3,,0.0
2601805,2019,51896.2,,0.0
2601805,2020,27354.05,,0.0
2601805,2021,29083.99,0.0,0.0
2601805,2022,347464.83,70000.0,0.0
2601904,2015,4509893.75,,0.0
2601904,2016,3463021.9,,0.0
2601904,2017,10644909.13,0.0,0.0
2601904,2018,32002560.6,,0.0
2601904,2019,24668949.86,,0.0
2601904,2020,9359771.76,97012253.33,0.0
2601904,2021,27691947.78,0.0,0.0
2601904,2022,11894517.59,,
2602001,2015,1523397.96,0.0,0.0
2602001,2016,116414.8,0.0,82439.27
2602001,2017,23265.26,0.0,14198.87
2602001,2018,38660.82,0.0,0.0
2602001,2019,63160.19,0.0,0.0
2602001,2020,57274.63,0.0,0.0
2602001,2021,136199.78,0.0,0.0
2602001,2022,2556214.26,,
2602100,2015,258465.23,,0.0
2602100,2016,206336.42,,4968.08
2602100,2017,358198.56,0.0,2839.77
2602100,2018,2003777.99,,0.0
2602100,2019,662817.52,,0.0
2602100,2020,344484.01,,0.0
2602100,2021,553451.53,0.0,0.0
2602100,2022,1185923.5,,
2602209,2015,379083.9,,0.0
2602209,2016,2074119.21,,0.0
2602209,2017,571610.35,1660000.0,0.0
2602209,2018,75452.69,1660000.0,0.0
2602209,2019,113031.29,1660000.0,0.0
2602209,2020,66965.94,690000.0,0.0
2602209,2021,50814.17,0.0,0.0
2602209,2022,498172.68,0.0,0.0
2602308,2015,70409.57,,0.0
2602308,2016,267765.49,,0.0
2602308,2017,367648.89,0.0,0.0
2602308,2018,38270827.2,,0.0
2602308,2019,20960712.73,,0.0
2602308,2020,8235724.82,,0.0
2602308,2021,23336777.4,557600.0,0.0
2602308,2022,2699101.58,0.0,
2602407,2015,10019.96,,0.0
2602407,2016,13732.29,,0.0
2602407,2017,4089.51,0.0,0.0
2602407,2018,721837.25,,0.0
2602407,2019,4335.85,,0.0
2602407,2020,9396.79,,0.0
2602407,2021,10533.42,0.0,0.0
2602407,2022,79611.75,,6992148.52
2602506,2015,10981.35,,0.0
2602506,2016,5738.76,,24840.41
2602506,2017,5692.69,0.0,14198.87
2602506,2018,14001.61,0.0,0.0
2602506,2019,42116.7,0.0,0.0
2602506,2020,21466.73,,0.0
2602506,2021,24710.47,0.0,0.0
2602506,2022,201179.54,,1664770.6
2602605,2015,587554.05,0.0,0.0
2602605,2016,258292.69,0.0,0.0
2602605,2017,255603.49,0.0,0.0
2602605,2018,4608413.28,0.0,0.0
2602605,2019,5019433.44,0.0,0.0
2602605,2020,957326.33,145000.0,0.0
2602605,2021,908951.09,159500.0,0.0
2602605,2022,6840162.73,167475.0,
2602704,2015,22085.11,,0.0
2602704,2016,56124.56,,0.0
2602704,2017,9679.26,0.0,0.0
2602704,2018,14847.74,,0.0
2602704,2019,0.0,,0.0
2602704,2020,22429.15,,0.0
2602704,2021,24006.08,0.0,0.0
2602704,2022,574970.4,,724645.2
2602803,2015,2881616.58,,0.0
2602803,2016,785493.55,,19872.33
2602803,2017,4144925.75,0.0,65118.26
2602803,2018,1103377.25,,0.0
2602803,2019,800225.18,,0.0
2602803,2020,3396528.37,0.0,0.0
2602803,2021,3191687.29,0.0,0.0
2602803,2022,6936278.31,0.0,2997109.39
2602902,2015,25358653.13,,0.0
2602902,2016,8688724.84,,0.0
2602902,2017,8755981.93,0.0,0.0
2602902,2018,5248933.43,,0.0
2602902,2019,12865229.65,,0.0
2602902,2020,17565711.42,,0.0
2602902,2021,28545433.42,0.0,0.0
2602902,2022,67819796.94,,
2603009,2015,39040.68,863778.69,0.0
2603009,2016,83275.08,27850.08,0.0
2603009,2017,107708.5,27850.08,0.0
2603009,2018,141434.73,120218.3,0.0
2603009,2019,600015.8,120218.3,0.0
2603009,2020,197237.02,120218.3,0.0
2603009,2021,109350.37,40862.13,0.0
2603009,2022,800055.87,0.0,0.0
2603108,2015,134864.0,,0.0
2603108,2016,64090.3,,0.0
2603108,2017,138142.74,49850.0,0.0
2603108,2018,1009439.43,49850.0,0.0
2603108,2019,542323.37,49850.0,0.0
2603108,2020,295113.68,52000.0,0.0
2603108,2021,598975.79,63000.0,0.0
2603108,2022,2772349.7,0.0,0.0
2603207,2015,826.45,,0.0
2603207,2016,5466.97,,0.0
2603207,2017,2423.86,0.0,0.0
2603207,2018,6752516.15,,0.0
2603207,2019,1146689.69,,0.0
2603207,2020,71550.79,,0.0
2603207,2021,37214.74,0.0,0.0
2603207,2022,614271.22,,
2603306,2015,3406.37,,0.0
2603306,2016,158896.02,,0.0
2603306,2017,3214.68,0.0,0.0
2603306,2018,19134.05,,0.0
2603306,2019,12630.42,,0.0
2603306,2020,6861.71,,0.0
2603306,2021,8164.82,0.0,0.0
2603306,2022,133907.89,,
2603405,2015,3616.65,,0.0
2603405,2016,6013.42,,0.0
2603405,2017,4146.47,0.0,0.0
2603405,2018,10563.35,,0.0
2603405,2019,14615.04,,0.0
2603405,2020,17048.98,,0.0
2603405,2021,17390.5,0.0,0.0
2603405,2022,43978.51,0.0,0.0
2603454,2015,2600057.37,,0.0
2603454,2016,1747519.65,,0.0
2603454,2017,2890122.65,0.0,0.0
2603454,2018,1876512.73,,0.0
2603454,2019,519507.08,,0.0
2603454,2020,3272453.78,,0.0
2603454,2021,2353454.57,0.0,0.0
2603454,2022,8875311.68,,
2603504,2015,16366.85,,0.0
2603504,2016,19083.18,0.0,0.0
2603504,2017,13199.07,50000.0,0.0
2603504,2018,714375.2,,0.0
2603504,2019,1012989.62,,0.0
2603504,2020,186519.3,,0.0
2603504,2021,1668648.03,0.0,0.0
2603504,2022,163114.27,,
2603603,2015,7915.72,,0.0
2603603,2016,17029.41,,0.0
2603603,2017,25468.22,0.0,0.0
2603603,2018,11430.47,,0.0
2603603,2019,38258.58,,0.0
2603603,2020,18014.56,,0.0
2603603,2021,20401.31,0.0,0.0
2603603,2022,313593.89,,
2603702,2015,20160.81,,0.0
2603702,2016,23078.28,,0.0
2603702,2017,633899.22,0.0,71091.59
2603702,2018,30027.42,,0.0
2603702,2019,85277.55,,0.0
2603702,2020,43707.65,0.0,0.0
2603702,2021,50585.23,0.0,0.0
2603702,2022,229167.26,,
2603801,2015,1682.5,,22672.6
2603801,2016,7662.98,,43133.98
2603801,2017,3874.11,0.0,5679.55
2603801,2018,11887.69,0.0,33112.89
2603801,2019,64658.98,,0.0
2603801,2020,171605.58,,0.0
2603801,2021,19989.22,0.0,0.0
2603801,2022,512401.55,,
2603900,2015,94301.61,,0.0
2603900,2016,29249.13,,0.0
2603900,2017,25650.83,0.0,91829.53
2603900,2018,29221.75,0.0,0.0
2603900,2019,56099.33,0.0,0.0
2603900,2020,42769.36,0.0,0.0
2603900,2021,61609.95,0.0,0.0
2603900,2022,167370.97,0.0,910665.84
2603926,2015,,0.0,0.0
2603926,2020,,0.0,0.0
2603926,2022,,100000.0,0.0
2604007,2015,342558.77,,0.0
2604007,2016,247559.81,,0.0
2604007,2017,588956.53,0.0,0.0
2604007,2018,511018.15,,0.0
2604007,2019,129368.85,,0.0
2604007,2020,309696.79,,0.0
2604007,2021,594375.15,0.0,0.0
2604007,2022,865703.06,,
2604106,2015,13059948.85,,15979670.63
2604106,2016,14387775.08,,24272724.12
2604106,2017,54015172.05,0.0,8519.32
2604106,2018,43417328.94,,0.0
2604106,2019,24569858.2,,0.0
2604106,2020,45840170.1,,0.0
2604106,2021,23273230.89,0.0,0.0
2604106,2022,73999187.84,,
2604155,2015,6973.41,,0.0
2604155,2016,1480.01,,4968.08
2604155,2017,820.09,0.0,2839.77
2604155,2018,2378.43,,0.0
2604155,2019,0.0,,0.0
2604155,2020,3988.34,0.0,0.0
2604155,2021,8129.18,0.0,0.0
2604155,2022,111812.37,0.0,0.0
2604205,2015,13750.0,0.0,0.0
2604205,2016,6813.15,0.0,0.0
2604205,2017,56057.25,0.0,0.0
2604205,2018,34855.0,0.0,0.0
2604205,2019,17450.98,0.0,0.0
2604205,2020,74762.08,0.0,0.0
2604205,2021,154584.22,0.0,0.0
2604205,2022,4330.25,0.0,0.0
2604304,2015,8750.21,29692.0,0.0
2604304,2016,100609.91,37680.0,0.0
2604304,2017,9337.51,40344.0,0.0
2604304,2018,23850.52,40344.0,0.0
2604304,2019,7728.03,40344.0,0.0
2604304,2020,403858.8,53481.8,0.0
2604304,2021,719744.4,24500.0,0.0
2604304,2022,93670.43,30100.0,0.0
2604403,2015,10023.06,,0.0
2604403,2016,11040.72,,0.0
2604403,2017,40544.48,0.0,0.0
2604403,2018,11548.52,,0.0
2604403,2019,0.0,,0.0
2604403,2020,16544.97,,0.0
2604403,2021,18477.27,0.0,0.0
2604403,2022,199647.06,,
2604502,2015,100462.89,,0.0
2604502,2016,16988.19,,0.0
2604502,2017,11925.89,0.0,0.0
2604502,2018,21189.8,0.0,0.0
2604502,2019,15897.98,0.0,0.0
2604502,2020,33087.54,0.0,0.0
2604502,2021,61247.15,0.0,0.0
2604502,2022,1759105.41,0.0,0.0
2604601,2015,99286.32,,0.0
2604601,2016,35478.4,,0.0
2604601,2017,12316.53,0.0,0.0
2604601,2018,17886.52,,0.0
2604601,2019,15945.11,,0.0
2604601,2020,25570.2,,0.0
2604601,2021,26591.84,0.0,0.0
2604601,2022,275578.65,,
2604700,2015,15753.9,,0.0
2604700,2016,18744.23,0.0,0.0
2604700,2017,14846.39,0.0,50501.39
2604700,2018,21752.19,,0.0
2604700,2019,78936.41,,0.0
2604700,2020,30218.15,,0.0
2604700,2021,31745.18,0.0,0.0
2604700,2022,193447.98,,
2604809,2015,,74828.9,360000.0
2604809,2016,,0.0,0.0
2604809,2017,,14699.0,0.0
2604809,2022,,0.0,0.0
2604908,2015,247206.97,,0.0
2604908,2016,5923.56,,84457.38
2604908,2017,210413.31,0.0,125235.79
2604908,2018,710090.69,,0.0
2604908,2019,216562.28,,0.0
2604908,2020,13629.8,,0.0
2604908,2021,16432.15,0.0,0.0
2604908,2022,135682.59,,
2605004,2015,251541.96,,0.0
2605004,2016,200124.02,22934.0,0.0
2605004,2017,164638.97,1659.5,8466.42
2605004,2018,211810.86,0.0,59025.62
2605004,2019,170937.04,0.0,0.0
2605004,2020,196648.06,0.0,0.0
2605004,2021,248691.37,0.0,0.0
2605004,2022,1603163.94,0.0,0.0
2605103,2015,22446.45,,0.0
2605103,2016,357454.35,,14904.25
2605103,2017,246812.67,0.0,8519.32
2605103,2018,46752.73,,0.0
2605103,2019,12771781.5,,0.0
2605103,2020,4502707.52,,0.0
2605103,2021,9318503.95,0.0,0.0
2605103,2022,9460253.67,,
2605152,2015,15702.61,,0.0
2605152,2016,79674.56,,0.0
2605152,2017,15396.45,0.0,0.0
2605152,2018,113866.91,,0.0
2605152,2019,343953.97,,0.0
2605152,2020,271417.49,,0.0
2605152,2021,48498.28,0.0,0.0
2605152,2022,260290.98,,
2605202,2015,477450.9,,0.0
2605202,2016,432485.0,,0.0
2605202,2017,1313721.61,0.0,0.0
2605202,2018,3311556.98,,0.0
2605202,2019,2864604.72,,0.0
2605202,2020,5061231.69,,0.0
2605202,2021,17238275.46,0.0,0.0
2605202,2022,17132621.25,,
2605301,2015,20644.06,,0.0
2605301,2016,99491.58,,29135.79
2605301,2017,21157.12,0.0,5679.55
2605301,2018,34560.57,0.0,0.0
2605301,2019,121434.75,0.0,0.0
2605301,2020,62017.75,0.0,0.0
2605301,2021,121513.39,0.0,0.0
2605301,2022,1862513.3,0.0,0.0
2605400,2015,58251.96,,0.0
2605400,2016,26700.05,,0.0
2605400,2017,539372.58,0.0,0.0
2605400,2018,30817.01,,0.0
2605400,2019,91857.23,,0.0
2605400,2020,41602.86,,0.0
2605400,2021,45432.55,0.0,0.0
2605400,2022,240952.01,,
2605459,2015,26101.73,,0.0
2605459,2016,104262.54,,0.0
2605459,2017,695601.15,0.0,0.0
2605459,2018,140943.55,,0.0
2605459,2019,396124.6,,0.0
2605459,2020,48794.19,,0.0
2605459,2021,11054232.73,0.0,0.0
2605459,2022,3888002.1,,
2605509,2015,97025.51,,0.0
2605509,2016,15314.41,,0.0
2605509,2017,30521.06,0.0,0.0
2605509,2018,1142105.35,,0.0
2605509,2019,40778.09,,0.0
2605509,2020,26129.03,,0.0
2605509,2021,38351.4,0.0,0.0
2605509,2022,130033.55,,
2605608,2015,127045.87,,0.0
2605608,2016,29429.49,,4968.08
2605608,2017,29386.77,0.0,2839.77
2605608,2018,34373.71,,0.0
2605608,2019,117116.45,,0.0
2605608,2020,47486.64,,0.0
2605608,2021,285248.01,0.0,0.0
2605608,2022,181011.43,,
2605707,2015,65719.28,,0.0
2605707,2016,531797.34,,14904.25
2605707,2017,47373.05,0.0,57044.9
2605707,2018,81320.79,0.0,0.0
2605707,2019,149772.48,0.0,0.0
2605707,2020,115513.63,0.0,0.0
2605707,2021,1834362.74,0.0,0.0
2605707,2022,901102.89,4219.17,
2605806,2015,7337.57,,0.0
2605806,2016,3419.28,,0.0
2605806,2017,1931.26,0.0,0.0
2605806,2018,7403.87,,0.0
2605806,2019,73498.37,,0.0
2605806,2020,15954.73,,0.0
2605806,2021,18067.19,0.0,0.0
2605806,2022,3311383.52,,
2605905,2015,0.0,0.0,0.0
2605905,2016,0.0,0.0,0.0
2605905,2017,0.0,0.0,0.0
2605905,2018,0.0,0.0,0.0
2605905,2019,0.0,0.0,0.0
2605905,2020,0.0,0.0,0.0
2605905,2021,14533.37,0.0,0.0
2605905,2022,4225.0,0.0,0.0
2606002,2015,13669890.76,,0.0
2606002,2016,2787132.17,,0.0
2606002,2017,924958.6,0.0,0.0
2606002,2018,990388.38,,0.0
2606002,2019,810688.9,,0.0
2606002,2020,6580901.62,,0.0
2606002,2021,1699557.51,0.0,0.0
2606002,2022,3434152.87,,
2606101,2015,32436.25,,0.0
2606101,2016,31053.87,,4968.08
2606101,2017,48171.6,0.0,2839.77
2606101,2018,62061.16,,0.0
2606101,2019,590700.25,,0.0
2606101,2020,1292633.34,,0.0
2606101,2021,545758.97,0.0,0.0
2606101,2022,351978.87,,
2606200,2015,22814484.36,,0.0
2606200,2016,3120312.22,,0.0
2606200,2017,5122107.91,0.0,0.0
2606200,2018,11601175.57,,0.0
2606200,2019,33518597.0,,0.0
2606200,2020,37804458.47,,0.0
2606200,2021,53750346.48,0.0,0.0
2606200,2022,56161444.01,,
2606309,2015,6000.41,4500.0,0.0
2606309,2016,8994.65,4950.0,4968.08
2606309,2017,6032.52,4950.0,2839.77
2606309,2018,11941.49,4950.0,0.0
2606309,2019,40892.99,4950.0,0.0
2606309,2020,66671.7,4950.0,0.0
2606309,2021,43636.29,0.0,0.0
2606309,2022,436797.98,,
2606408,2015,2669725.92,,0.0
2606408,2016,9161059.5,,0.0
2606408,2017,17964193.12,0.0,35742.17
2606408,2018,16121523.6,,0.0
2606408,2019,19258887.04,,0.0
2606408,2020,12774244.46,,0.0
2606408,2021,14379340.25,0.0,0.0
2606408,2022,35093371.4,,
2606606,2015,19374.82,,0.0
2606606,2016,106224.31,1473377.67,19872.33
2606606,2017,302743.88,491369.6,11359.09
2606606,2018,138335.83,551960.0,0.0
2606606,2019,2245026.66,698260.0,0.0
2606606,2020,12891783.42,739400.0,0.0
2606606,2021,9084823.39,712400.0,0.0
2606606,2022,3618870.91,819260.0,
2606705,2015,5175.84,,0.0
2606705,2016,44916.62,,0.0
2606705,2017,4642.48,0.0,0.0
2606705,2018,7959.09,,0.0
2606705,2019,335270.44,,0.0
2606705,2020,13327.8,,0.0
2606705,2021,14803.56,0.0,0.0
2606705,2022,64614.97,0.0,
