ano,codigo_ibge,municipio,populacao,mesorregiao_id,mesorregiao,pop_interpolada
2015,2600054,Abreu e Lima,98602,2605,Metropolitana de Recife,False
2016,2600054,Abreu e Lima,98990,2605,Metropolitana de Recife,False
2017,2600054,Abreu e Lima,99364,2605,Metropolitana de Recife,False
2018,2600054,Abreu e Lima,99622,2605,Metropolitana de Recife,False
2019,2600054,Abreu e Lima,99990,2605,Metropolitana de Recife,False
2020,2600054,Abreu e Lima,100346,2605,Metropolitana de Recife,False
2021,2600054,Abreu e Lima,100698,2605,Metropolitana de Recife,False
2022,2600054,Abreu e Lima,101780,2605,Metropolitana de Recife,True
2023,2600054,Abreu e Lima,102863,2605,Metropolitana de Recife,True
2024,2600054,Abreu e Lima,103945,2605,Metropolitana de Recife,False
2015,2600104,Afogados da Ingazeira,36709,2601,Sertão Pernambucano,False
2016,2600104,Afogados da Ingazeira,36866,2601,Sertão Pernambucano,False
2017,2600104,Afogados da Ingazeira,37017,2601,Sertão Pernambucano,False
2018,2600104,Afogados da Ingazeira,37111,2601,Sertão Pernambucano,False
2019,2600104,Afogados da Ingazeira,37259,2601,Sertão Pernambucano,False
2020,2600104,Afogados da Ingazeira,37404,2601,Sertão Pernambucano,False
2021,2600104,Afogados da Ingazeira,37546,2601,Sertão Pernambucano,False
2022,2600104,Afogados da Ingazeira,39166,2601,Sertão Pernambucano,True
2023,2600104,Afogados da Ingazeira,40787,2601,Sertão Pernambucano,True
2024,2600104,Afogados da Ingazeira,42407,2601,Sertão Pernambucano,False
2015,2600203,Afrânio,19031,2602,São Francisco Pernambucano,False
2016,2600203,Afrânio,19225,2602,São Francisco Pernambucano,False
2017,2600203,Afrânio,19411,2602,São Francisco Pernambucano,False
2018,2600203,Afrânio,19456,2602,São Francisco Pernambucano,False
2019,2600203,Afrânio,19635,2602,São Francisco Pernambucano,False
2020,2600203,Afrânio,19810,2602,São Francisco Pernambucano,False
2021,2600203,Afrânio,19981,2602,São Francisco Pernambucano,False
2022,2600203,Afrânio,19770,2602,São Francisco Pernambucano,True
2023,2600203,Afrânio,19560,2602,São Francisco Pernambucano,True
2024,2600203,Afrânio,19349,2602,São Francisco Pernambucano,False
2015,2600302,Agrestina,24256,2603,Agreste Pernambucano,False
2016,2600302,Agrestina,24454,2603,Agreste Pernambucano,False
2017,2600302,Agrestina,24644,2603,Agreste Pernambucano,False
2018,2600302,Agrestina,24702,2603,Agreste Pernambucano,False
2019,2600302,Agrestina,24885,2603,Agreste Pernambucano,False
2020,2600302,Agrestina,25065,2603,Agreste Pernambucano,False
2021,2600302,Agrestina,25240,2603,Agreste Pernambucano,False
2022,2600302,Agrestina,25032,2603,Agreste Pernambucano,True
2023,2600302,Agrestina,24823,2603,Agreste Pernambucano,True
2024,2600302,Agrestina,24615,2603,Agreste Pernambucano,False
2015,2600609,Alagoinha,14341,2603,Agreste Pernambucano,False
2016,2600609,Alagoinha,14431,2603,Agreste Pernambucano,False
2017,2600609,Alagoinha,14517,2603,Agreste Pernambucano,False
2018,2600609,Alagoinha,14554,2603,Agreste Pernambucano,False
2019,2600609,Alagoinha,14636,2603,Agreste Pernambucano,False
2020,2600609,Alagoinha,14718,2603,Agreste Pernambucano,False
2021,2600609,Alagoinha,14798,2603,Agreste Pernambucano,False
2022,2600609,Alagoinha,14650,2603,Agreste Pernambucano,True
2023,2600609,Alagoinha,14503,2603,Agreste Pernambucano,True
2024,2600609,Alagoinha,14355,2603,Agreste Pernambucano,False
2015,2600708,Aliança,38255,2604,Mata Pernambucana,False
2016,2600708,Aliança,38261,2604,Mata Pernambucana,False
2017,2600708,Aliança,38267,2604,Mata Pernambucana,False
2018,2600708,Aliança,38375,2604,Mata Pernambucana,False
2019,2600708,Aliança,38386,2604,Mata Pernambucana,False
2020,2600708,Aliança,38397,2604,Mata Pernambucana,False
2021,2600708,Aliança,38408,2604,Mata Pernambucana,False
2022,2600708,Aliança,38063,2604,Mata Pernambucana,True
2023,2600708,Aliança,37717,2604,Mata Pernambucana,True
2024,2600708,Aliança,37372,2604,Mata Pernambucana,False
2015,2600807,Altinho,22876,2603,Agreste Pernambucano,False
2016,2600807,Altinho,22886,2603,Agreste Pernambucano,False
2017,2600807,Altinho,22896,2603,Agreste Pernambucano,False
2018,2600807,Altinho,22959,2603,Agreste Pernambucano,False
2019,2600807,Altinho,22972,2603,Agreste Pernambucano,False
2020,2600807,Altinho,22984,2603,Agreste Pernambucano,False
2021,2600807,Altinho,22996,2603,Agreste Pernambucano,False
2022,2600807,Altinho,22392,2603,Agreste Pernambucano,True
2023,2600807,Altinho,21789,2603,Agreste Pernambucano,True
2024,2600807,Altinho,21185,2603,Agreste Pernambucano,False
2015,2600906,Amaraji,22643,2604,Mata Pernambucana,False
2016,2600906,Amaraji,22685,2604,Mata Pernambucana,False
2017,2600906,Amaraji,22726,2604,Mata Pernambucana,False
2018,2600906,Amaraji,22788,2604,Mata Pernambucana,False
2019,2600906,Amaraji,22829,2604,Mata Pernambucana,False
2020,2600906,Amaraji,22870,2604,Mata Pernambucana,False
2021,2600906,Amaraji,22910,2604,Mata Pernambucana,False
2022,2600906,Amaraji,21430,2604,Mata Pernambucana,True
2023,2600906,Amaraji,19951,2604,Mata Pernambucana,True
2024,2600906,Amaraji,18471,2604,Mata Pernambucana,False
2015,2601003,Angelim,10882,2603,Agreste Pernambucano,False
2016,2601003,Angelim,10965,2603,Agreste Pernambucano,False
2017,2601003,Angelim,11045,2603,Agreste Pernambucano,False
2018,2601003,Angelim,11072,2603,Agreste Pernambucano,False
2019,2601003,Angelim,11150,2603,Agreste Pernambucano,False
2020,2601003,Angelim,11226,2603,Agreste Pernambucano,False
2021,2601003,Angelim,11301,2603,Agreste Pernambucano,False
2022,2601003,Angelim,11061,2603,Agreste Pernambucano,True
2023,2601003,Angelim,10820,2603,Agreste Pernambucano,True
2024,2601003,Angelim,10580,2603,Agreste Pernambucano,False
2015,2601102,Araripina,82800,2601,Sertão Pernambucano,False
2016,2601102,Araripina,83287,2601,Sertão Pernambucano,False
2017,2601102,Araripina,83757,2601,Sertão Pernambucano,False
2018,2601102,Araripina,83964,2601,Sertão Pernambucano,False
2019,2601102,Araripina,84418,2601,Sertão Pernambucano,False
2020,2601102,Araripina,84864,2601,Sertão Pernambucano,False
2021,2601102,Araripina,85301,2601,Sertão Pernambucano,False
2022,2601102,Araripina,86902,2601,Sertão Pernambucano,True
2023,2601102,Araripina,88503,2601,Sertão Pernambucano,True
2024,2601102,Araripina,90104,2601,Sertão Pernambucano,False
2015,2601052,Araçoiaba,19816,2605,Metropolitana de Recife,False
2016,2601052,Araçoiaba,20046,2605,Metropolitana de Recife,False
2017,2601052,Araçoiaba,20268,2605,Metropolitana de Recife,False
2018,2601052,Araçoiaba,20312,2605,Metropolitana de Recife,False
2019,2601052,Araçoiaba,20524,2605,Metropolitana de Recife,False
2020,2601052,Araçoiaba,20733,2605,Metropolitana de Recife,False
2021,2601052,Araçoiaba,20936,2605,Metropolitana de Recife,False
2022,2601052,Araçoiaba,20603,2605,Metropolitana de Recife,True
2023,2601052,Araçoiaba,20269,2605,Metropolitana de Recife,True
2024,2601052,Araçoiaba,19936,2605,Metropolitana de Recife,False
2015,2601201,Arcoverde,72625,2601,Sertão Pernambucano,False
2016,2601201,Arcoverde,73154,2601,Sertão Pernambucano,False
2017,2601201,Arcoverde,73667,2601,Sertão Pernambucano,False
2018,2601201,Arcoverde,73844,2601,Sertão Pernambucano,False
2019,2601201,Arcoverde,74338,2601,Sertão Pernambucano,False
2020,2601201,Arcoverde,74822,2601,Sertão Pernambucano,False
2021,2601201,Arcoverde,75295,2601,Sertão Pernambucano,False
2022,2601201,Arcoverde,77531,2601,Sertão Pernambucano,True
2023,2601201,Arcoverde,79767,2601,Sertão Pernambucano,True
2024,2601201,Arcoverde,82003,2601,Sertão Pernambucano,False
2015,2601300,Barra de Guabiraba,13953,2603,Agreste Pernambucano,False
2016,2601300,Barra de Guabiraba,14091,2603,Agreste Pernambucano,False
2017,2601300,Barra de Guabiraba,14224,2603,Agreste Pernambucano,False
2018,2601300,Barra de Guabiraba,14257,2603,Agreste Pernambucano,False
2019,2601300,Barra de Guabiraba,14385,2603,Agreste Pernambucano,False
2020,2601300,Barra de Guabiraba,14510,2603,Agreste Pernambucano,False
2021,2601300,Barra de Guabiraba,14632,2603,Agreste Pernambucano,False
2022,2601300,Barra de Guabiraba,13960,2603,Agreste Pernambucano,True
2023,2601300,Barra de Guabiraba,13288,2603,Agreste Pernambucano,True
2024,2601300,Barra de Guabiraba,12616,2603,Agreste Pernambucano,False
2015,2601409,Barreiros,42220,2604,Mata Pernambucana,False
2016,2601409,Barreiros,42331,2604,Mata Pernambucana,False
2017,2601409,Barreiros,42438,2604,Mata Pernambucana,False
2018,2601409,Barreiros,42552,2604,Mata Pernambucana,False
2019,2601409,Barreiros,42659,2604,Mata Pernambucana,False
2020,2601409,Barreiros,42764,2604,Mata Pernambucana,False
2021,2601409,Barreiros,42866,2604,Mata Pernambucana,False
2022,2601409,Barreiros,42596,2604,Mata Pernambucana,True
2023,2601409,Barreiros,42326,2604,Mata Pernambucana,True
2024,2601409,Barreiros,42056,2604,Mata Pernambucana,False
2015,2601706,Belo Jardim,75462,2603,Agreste Pernambucano,False
2016,2601706,Belo Jardim,75729,2603,Agreste Pernambucano,False
2017,2601706,Belo Jardim,75986,2603,Agreste Pernambucano,False
2018,2601706,Belo Jardim,76185,2603,Agreste Pernambucano,False
2019,2601706,Belo Jardim,76439,2603,Agreste Pernambucano,False
2020,2601706,Belo Jardim,76687,2603,Agreste Pernambucano,False
2021,2601706,Belo Jardim,76930,2603,Agreste Pernambucano,False
2022,2601706,Belo Jardim,79169,2603,Agreste Pernambucano,True
2023,2601706,Belo Jardim,81408,2603,Agreste Pernambucano,True
2024,2601706,Belo Jardim,83647,2603,Agreste Pernambucano,False
2015,2601508,Belém de Maria,11888,2604,Mata Pernambucana,False
2016,2601508,Belém de Maria,11941,2604,Mata Pernambucana,False
2017,2601508,Belém de Maria,11992,2604,Mata Pernambucana,False
2018,2601508,Belém de Maria,12023,2604,Mata Pernambucana,False
2019,2601508,Belém de Maria,12073,2604,Mata Pernambucana,False
2020,2601508,Belém de Maria,12122,2604,Mata Pernambucana,False
2021,2601508,Belém de Maria,12169,2604,Mata Pernambucana,False
2022,2601508,Belém de Maria,11722,2604,Mata Pernambucana,True
2023,2601508,Belém de Maria,11276,2604,Mata Pernambucana,True
2024,2601508,Belém de Maria,10829,2604,Mata Pernambucana,False
2015,2601607,Belém do São Francisco,20675,2602,São Francisco Pernambucano,False
2016,2601607,Belém do São Francisco,20672,2602,São Francisco Pernambucano,False
2017,2601607,Belém do São Francisco,20670,2602,São Francisco Pernambucano,False
2018,2601607,Belém do São Francisco,20728,2602,São Francisco Pernambucano,False
2019,2601607,Belém do São Francisco,20729,2602,São Francisco Pernambucano,False
2020,2601607,Belém do São Francisco,20730,2602,São Francisco Pernambucano,False
2021,2601607,Belém do São Francisco,20730,2602,São Francisco Pernambucano,False
2022,2601607,Belém do São Francisco,20058,2602,São Francisco Pernambucano,True
2023,2601607,Belém do São Francisco,19385,2602,São Francisco Pernambucano,True
2024,2601607,Belém do São Francisco,18713,2602,São Francisco Pernambucano,False
2015,2601805,Betânia,12539,2601,Sertão Pernambucano,False
2016,2601805,Betânia,12589,2601,Sertão Pernambucano,False
2017,2601805,Betânia,12637,2601,Sertão Pernambucano,False
2018,2601805,Betânia,12671,2601,Sertão Pernambucano,False
2019,2601805,Betânia,12719,2601,Sertão Pernambucano,False
2020,2601805,Betânia,12765,2601,Sertão Pernambucano,False
2021,2601805,Betânia,12811,2601,Sertão Pernambucano,False
2022,2601805,Betânia,12534,2601,Sertão Pernambucano,True
2023,2601805,Betânia,12258,2601,Sertão Pernambucano,True
2024,2601805,Betânia,11981,2601,Sertão Pernambucano,False
2015,2601904,Bezerros,60386,2603,Agreste Pernambucano,False
2016,2601904,Bezerros,60469,2603,Agreste Pernambucano,False
2017,2601904,Bezerros,60549,2603,Agreste Pernambucano,False
2018,2601904,Bezerros,60714,2603,Agreste Pernambucano,False
2019,2601904,Bezerros,60798,2603,Agreste Pernambucano,False
2020,2601904,Bezerros,60880,2603,Agreste Pernambucano,False
2021,2601904,Bezerros,60960,2603,Agreste Pernambucano,False
2022,2601904,Bezerros,62243,2603,Agreste Pernambucano,True
2023,2601904,Bezerros,63526,2603,Agreste Pernambucano,True
2024,2601904,Bezerros,64809,2603,Agreste Pernambucano,False
2015,2602001,Bodocó,37317,2601,Sertão Pernambucano,False
2016,2602001,Bodocó,37571,2601,Sertão Pernambucano,False
2017,2602001,Bodocó,37816,2601,Sertão Pernambucano,False
2018,2602001,Bodocó,37909,2601,Sertão Pernambucano,False
2019,2602001,Bodocó,38146,2601,Sertão Pernambucano,False
2020,2602001,Bodocó,38378,2601,Sertão Pernambucano,False
2021,2602001,Bodocó,38605,2601,Sertão Pernambucano,False
2022,2602001,Bodocó,37780,2601,Sertão Pernambucano,True
2023,2602001,Bodocó,36954,2601,Sertão Pernambucano,True
2024,2602001,Bodocó,36129,2601,Sertão Pernambucano,False
2015,2602100,Bom Conselho,47760,2603,Agreste Pernambucano,False
2016,2602100,Bom Conselho,47991,2603,Agreste Pernambucano,False
2017,2602100,Bom Conselho,48214,2603,Agreste Pernambucano,False
2018,2602100,Bom Conselho,48336,2603,Agreste Pernambucano,False
2019,2602100,Bom Conselho,48554,2603,Agreste Pernambucano,False
2020,2602100,Bom Conselho,48767,2603,Agreste Pernambucano,False
2021,2602100,Bom Conselho,48975,2603,Agreste Pernambucano,False
2022,2602100,Bom Conselho,48047,2603,Agreste Pernambucano,True
2023,2602100,Bom Conselho,47120,2603,Agreste Pernambucano,True
2024,2602100,Bom Conselho,46192,2603,Agreste Pernambucano,False
2015,2602209,Bom Jardim,38924,2603,Agreste Pernambucano,False
2016,2602209,Bom Jardim,38976,2603,Agreste Pernambucano,False
2017,2602209,Bom Jardim,39025,2603,Agreste Pernambucano,False
