codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2600054,2015,12.25,72.67,
2600054,2016,15.340000000000003,63.61,
2600054,2017,14.629999999999995,63.26,
2600054,2018,13.310000000000002,63.6,
2600054,2019,13.159999999999997,65.21000000000001,
2600054,2020,13.129999999999995,65.14,
2600054,2021,12.010000000000003,65.46000000000001,
2600054,2022,11.290000000000006,67.93,
2600054,2023,28.86,,
2600104,2015,0.0,,
2600104,2016,0.0,36.06,
2600104,2017,0.0,38.56,
2600104,2018,0.0,95.47,
2600104,2019,0.0,92.69,
2600104,2020,0.0,91.76,
2600104,2021,0.0,90.91,
2600104,2022,0.0,88.87,
2600104,2023,17.730000000000004,,
2600203,2015,48.74,,
2600203,2016,47.59,,
2600203,2017,46.49,,
2600203,2018,45.42,,
2600203,2019,43.62,0.0,
2600203,2020,43.33,0.0,
2600203,2021,42.83,0.0,
2600203,2022,38.09,0.0,
2600203,2023,55.19,,
2600302,2015,3.3799999999999955,,
2600302,2016,0.0,,
2600302,2017,0.0,0.0,
2600302,2018,0.0,0.0,
2600302,2019,0.0,0.0,
2600302,2020,0.0,0.0,
2600302,2021,0.0,1.4599999999999935,
2600302,2022,0.0,27.870000000000005,
2600302,2023,14.769999999999996,,
2600401,2015,45.18,,
2600401,2016,38.71,,
2600401,2017,32.67,,
2600401,2018,30.67,,
2600401,2019,30.56,,
2600401,2020,26.91,,
2600401,2021,27.510000000000005,,
2600401,2022,6.609999999999999,,
2600401,2023,34.769999999999996,,
2600500,2015,52.38,,
2600500,2016,53.0,,
2600500,2017,52.28,,
2600500,2018,51.53,16.010000000000005,
2600500,2019,51.74,,
2600500,2020,51.75,,
2600500,2021,51.89,0.0,
2600500,2022,48.98,0.0,
2600500,2023,57.72,,
2600609,2015,56.26,,
2600609,2016,56.51,0.0,
2600609,2017,56.77,0.0,
2600609,2018,52.94,,
2600609,2019,50.74,15.549999999999995,
2600609,2020,49.55,28.730000000000004,
2600609,2021,47.67,14.319999999999991,
2600609,2022,43.58,0.0,
2600609,2023,49.87,,
2600708,2015,36.11,,
2600708,2016,22.700000000000003,,
2600708,2017,20.239999999999995,,
2600708,2018,19.129999999999995,,
2600708,2019,18.03,,
2600708,2020,16.959999999999994,,
2600708,2021,15.879999999999995,,
2600708,2022,5.569999999999993,,
2600708,2023,24.33,,
2600807,2015,20.480000000000004,,
2600807,2016,15.790000000000006,63.23,
2600807,2017,14.540000000000006,61.13,
2600807,2018,13.599999999999994,59.09,
2600807,2019,12.579999999999998,64.32,
2600807,2020,10.0,,
