ano,internacoes,codigo_ibge
2021,1,
2018,1,
2019,1,
2023,1,
2021,3,
2024,1,
2024,1,
2021,1,
2024,1,
2021,9,
2022,11,
2023,2,
2024,3,
2023,1,
2024,1,
2021,2,
2020,1,
2019,1,
2021,1,
2022,1,
2023,3,
2024,3,
2023,1,
2022,3,
2023,1,
2024,1,
2024,1,
2021,7,
2018,1,
2023,1,
2024,1,
2022,1,
2022,1,
2019,1,
2023,1,
2020,1,
2016,1,
2017,1,
2018,1,
2024,1,
2015,1,
2024,3,
2023,1,
2017,2,
2021,2,
2022,1,
2024,2,
2022,1,
2021,6,
2024,1,
2017,1,
2020,1,
2022,1,
2023,1,
2020,1,
2021,2,
2022,1,
2023,2,
2022,2,
2019,2,
2024,14,
2024,1,
2017,1,
2022,2,
2023,3,
2024,1,
2015,1,
2016,1,
2024,1,
2021,1,
2023,1,
2021,1,
2020,1,
2021,5,
2022,1,
2022,2,
2024,1,
2022,1,
2023,2,
2021,3,
2022,2,
2022,3,
2017,1,
2020,1,
2022,1,
2022,1,
2020,2,
2021,4,
2023,1,
2015,1,
2017,1,
2019,1,
2023,1,
2022,1,
2022,2,
2024,1,
2023,1,
2015,1,
2016,1,
2017,3,
2018,10,
2019,10,
2020,2,
2023,1,
2016,1,
2018,2,
2018,1,
2022,1,
2018,2,
2015,1,
2016,1,
2018,1,
2020,1,
2015,2,
2016,3,
2018,4,
2018,2,
2019,1,
2022,2,
2019,1,
2019,1,
2024,1,
2024,1,
2015,9,
2016,18,
2017,10,
2018,5,
2019,8,
2020,7,
2016,1,
2018,1,
2016,1,
2022,3,
2023,2,
2024,2,
2022,1,
2015,1,
2018,1,
2022,1,
2023,2,
2024,2,
2024,1,
2022,1,
2018,1,
2022,2,
2023,2,
2020,1,
2021,2,
2024,1,
2024,1,
2015,1,
2021,1,
2015,6,
2016,9,
2017,6,
2018,7,
2019,2,
2021,1,
2020,1,
2017,1,
2019,3,
2020,1,
2021,14,
2022,12,
2023,8,
2024,5,
2024,2,
2015,1,
2020,1,
2017,4,
2018,3,
2019,1,
2022,1,
2018,3,
2017,1,
2019,2,
2016,1,
2018,1,
2022,1,
2016,1,
2017,1,
2019,1,
2020,1,
2021,1,
2024,1,
2018,1,
2016,1,
2020,1,
2020,1,
2024,2,
2018,1,
2021,1,
2015,1,
2016,1,
2017,1,
2018,3,
2021,1,
2023,1,
