ano,indicador,casos,codigo_ibge
2015,taxaDengue,998,2600054
2015,taxaDengue,818,2600104
2015,taxaDengue,76,2600203
2015,taxaDengue,62,2600302
2015,taxaDengue,16,2600401
2015,taxaDengue,1085,2600500
2015,taxaDengue,457,2600609
2015,taxaDengue,492,2600708
2015,taxaDengue,210,2600807
2015,taxaDengue,82,2600906
2015,taxaDengue,5,2601003
2015,taxaDengue,170,2601052
2015,taxaDengue,50,2601102
2015,taxaDengue,1510,2601201
2015,taxaDengue,18,2601300
2015,taxaDengue,302,2601409
2015,taxaDengue,3,2601508
2015,taxaDengue,120,2601607
2015,taxaDengue,3217,2601706
2015,taxaDengue,14,2601805
2015,taxaDengue,424,2601904
2015,taxaDengue,19,2602001
2015,taxaDengue,352,2602100
2015,taxaDengue,429,2602209
2015,taxaDengue,58,2602308
2015,taxaDengue,3,2602407
2015,taxaDengue,43,2602506
2015,taxaDengue,623,2602605
2015,taxaDengue,199,2602704
2015,taxaDengue,839,2602803
2015,taxaDengue,2097,2602902
2015,taxaDengue,42,2603009
2015,taxaDengue,10,2603108
2015,taxaDengue,111,2603207
2015,taxaDengue,83,2603306
2015,taxaDengue,5728,2603454
2015,taxaDengue,9,2603504
2015,taxaDengue,25,2603603
2015,taxaDengue,14,2603702
2015,taxaDengue,9,2603801
2015,taxaDengue,305,2603900
2015,taxaDengue,9,2603926
2015,taxaDengue,2080,2604007
2015,taxaDengue,705,2604106
2015,taxaDengue,186,2604155
2015,taxaDengue,27,2604205
2015,taxaDengue,8,2604304
2015,taxaDengue,52,2604403
2015,taxaDengue,278,2604502
2015,taxaDengue,829,2604601
2015,taxaDengue,82,2604700
2015,taxaDengue,20,2604809
2015,taxaDengue,125,2604908
2015,taxaDengue,19,2605004
2015,taxaDengue,273,2605103
2015,taxaDengue,95,2605152
2015,taxaDengue,285,2605202
2015,taxaDengue,11,2605301
2015,taxaDengue,76,2605400
2015,taxaDengue,166,2605459
2015,taxaDengue,13,2605509
2015,taxaDengue,102,2605608
2015,taxaDengue,52,2605707
2015,taxaDengue,164,2605806
2015,taxaDengue,30,2605905
2015,taxaDengue,1131,2606002
2015,taxaDengue,138,2606101
2015,taxaDengue,3742,2606200
2015,taxaDengue,1,2606309
2015,taxaDengue,33,2606408
2015,taxaDengue,1415,2606507
2015,taxaDengue,107,2606606
2015,taxaDengue,1321,2606804
2015,taxaDengue,190,2606903
2015,taxaDengue,416,2607000
2015,taxaDengue,20,2607109
2015,taxaDengue,429,2607208
2015,taxaDengue,72,2607307
2015,taxaDengue,2,2607406
2015,taxaDengue,429,2607505
2015,taxaDengue,275,2607604
2015,taxaDengue,619,2607653
2015,taxaDengue,426,2607703
2015,taxaDengue,22,2607752
2015,taxaDengue,421,2607802
2015,taxaDengue,6477,2607901
2015,taxaDengue,169,2607950
2015,taxaDengue,1419,2608008
2015,taxaDengue,44,2608057
2015,taxaDengue,1830,2608107
2015,taxaDengue,8,2608206
2015,taxaDengue,18,2608255
2015,taxaDengue,29,2608305
2015,taxaDengue,4,2608404
2015,taxaDengue,373,2608453
2015,taxaDengue,297,2608503
2015,taxaDengue,21,2608602
2015,taxaDengue,5,2608701
2015,taxaDengue,22,2608750
2015,taxaDengue,20,2608800
2015,taxaDengue,3012,2608909
2015,taxaDengue,557,2609006
2015,taxaDengue,79,2609105
2015,taxaDengue,152,2609154
2015,taxaDengue,19,2609204
2015,taxaDengue,20,2609303
2015,taxaDengue,1154,2609402
2015,taxaDengue,96,2609501
2015,taxaDengue,3610,2609600
2015,taxaDengue,159,2609709
2015,taxaDengue,6,2609808
2015,taxaDengue,23,2609907
2015,taxaDengue,137,2610004
2015,taxaDengue,41,2610103
2015,taxaDengue,47,2610202
2015,taxaDengue,25,2610301
2015,taxaDengue,19,2610400
2015,taxaDengue,511,2610509
2015,taxaDengue,234,2610608
2015,taxaDengue,2212,2610707
2015,taxaDengue,915,2610806
2015,taxaDengue,1895,2610905
2015,taxaDengue,52,2611002
2015,taxaDengue,1583,2611101
2015,taxaDengue,555,2611200
2015,taxaDengue,115,2611309
2015,taxaDengue,52,2611408
2015,taxaDengue,128,2611507
2015,taxaDengue,13,2611533
2015,taxaDengue,26682,2611606
2015,taxaDengue,148,2611705
2015,taxaDengue,230,2611804
2015,taxaDengue,5,2611903
2015,taxaDengue,17,2612000
2015,taxaDengue,117,2612109
2015,taxaDengue,277,2612208
2015,taxaDengue,28,2612307
2015,taxaDengue,759,2612406
2015,taxaDengue,5,2612455
2015,taxaDengue,354,2612471
2015,taxaDengue,97,2612505
2015,taxaDengue,15,2612554
2015,taxaDengue,16,2612604
2015,taxaDengue,111,2612703
2015,taxaDengue,122,2612802
2015,taxaDengue,2,2612901
2015,taxaDengue,983,2613008
2015,taxaDengue,38,2613107
2015,taxaDengue,64,2613206
2015,taxaDengue,66,2613305
2015,taxaDengue,117,2613404
2015,taxaDengue,115,2613503
2015,taxaDengue,839,2613602
2015,taxaDengue,462,2613701
2015,taxaDengue,22,2613800
2015,taxaDengue,441,2613909
2015,taxaDengue,60,2614006
2015,taxaDengue,148,2614105
2015,taxaDengue,11,2614204
2015,taxaDengue,1,2614303
2015,taxaDengue,27,2614402
2015,taxaDengue,2355,2614501
2015,taxaDengue,508,2614600
2015,taxaDengue,28,2614709
2015,taxaDengue,527,2614808
2015,taxaDengue,25,2614857
2015,taxaDengue,512,2615003
2015,taxaDengue,7,2615102
2015,taxaDengue,30,2615201
2015,taxaDengue,573,2615300
2015,taxaDengue,266,2615409
2015,taxaDengue,13,2615508
2015,taxaDengue,38,2615607
2015,taxaDengue,1,2615706
2015,taxaDengue,218,2615805
2015,taxaDengue,29,2615904
2015,taxaDengue,426,2616001
2015,taxaDengue,104,2616100
2015,taxaDengue,72,2616183
2015,taxaDengue,81,2616209
2015,taxaDengue,216,2616308
2015,taxaDengue,1339,2616407
2015,taxaDengue,3,2616506
2016,taxaDengue,106,2600054
2016,taxaDengue,650,2600104
2016,taxaDengue,2,2600203
2016,taxaDengue,227,2600302
2016,taxaDengue,15,2600401
2016,taxaDengue,70,2600500
2016,taxaDengue,407,2600609
2016,taxaDengue,116,2600708
2016,taxaDengue,195,2600807
2016,taxaDengue,50,2600906
2016,taxaDengue,49,2601003
2016,taxaDengue,348,2601052
2016,taxaDengue,57,2601102
2016,taxaDengue,33,2601201
2016,taxaDengue,22,2601300
2016,taxaDengue,193,2601409
2016,taxaDengue,1,2601508
2016,taxaDengue,55,2601607
2016,taxaDengue,1384,2601706
2016,taxaDengue,16,2601805
2016,taxaDengue,566,2601904
2016,taxaDengue,13,2602001
2016,taxaDengue,504,2602100
2016,taxaDengue,75,2602209
2016,taxaDengue,8,2602308
2016,taxaDengue,19,2602407
2016,taxaDengue,7,2602506
2016,taxaDengue,314,2602605
2016,taxaDengue,60,2602704
2016,taxaDengue,526,2602803
2016,taxaDengue,1740,2602902
2016,taxaDengue,31,2603009
2016,taxaDengue,25,2603108
2016,taxaDengue,417,2603207
2016,taxaDengue,25,2603306
2016,taxaDengue,14,2603405
2016,taxaDengue,763,2603454
2016,taxaDengue,8,2603504
2016,taxaDengue,135,2603603
2016,taxaDengue,58,2603702
2016,taxaDengue,48,2603801
2016,taxaDengue,213,2603900
2016,taxaDengue,5,2603926
2016,taxaDengue,1257,2604007
2016,taxaDengue,801,2604106
2016,taxaDengue,195,2604155
2016,taxaDengue,39,2604205
2016,taxaDengue,118,2604304
2016,taxaDengue,11,2604403
2016,taxaDengue,65,2604502
2016,taxaDengue,967,2604601
2016,taxaDengue,21,2604700
2016,taxaDengue,3,2604809
2016,taxaDengue,18,2604908
2016,taxaDengue,10,2605004
2016,taxaDengue,10,2605103
2016,taxaDengue,338,2605202
2016,taxaDengue,63,2605301
2016,taxaDengue,78,2605400
2016,taxaDengue,179,2605459
2016,taxaDengue,13,2605509
2016,taxaDengue,50,2605608
2016,taxaDengue,24,2605707
2016,taxaDengue,43,2605806
2016,taxaDengue,67,2605905
2016,taxaDengue,2785,2606002
2016,taxaDengue,46,2606101
2016,taxaDengue,3250,2606200
